sep=;
username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PeterMcCormack;2020-08-01 00:29;8;56;"pic.twitter.com/uh5VQCGjLB";;;;"1289342568103153666";https://twitter.com/PeterMcCormack/status/1289342568103153666
PeterMcCormack;2020-08-01 00:22;948;3536;"Teenagers who hack Twitter facing maximum statutory penalty of 45 years in prison. Epstein got 18 months for child prostitution. Right-o...";;;;"1289340726468386818";https://twitter.com/PeterMcCormack/status/1289340726468386818
PeterMcCormack;2020-08-01 00:15;0;4;"I struggled here, this was the moment where I thought I was out of my depth because my logic seemed so right and she couldn’t see it.";;;;"1289338909168566272";https://twitter.com/PeterMcCormack/status/1289338909168566272
PeterMcCormack;2020-07-31 23:17;0;0;"Mine isn’t a joke, a bag of sand is a grand";;;;"1289324274889527297";https://twitter.com/PeterMcCormack/status/1289324274889527297
PeterMcCormack;2020-07-31 23:01;0;0;"No endorsement was bought";;;;"1289320348169768960";https://twitter.com/PeterMcCormack/status/1289320348169768960
PeterMcCormack;2020-07-31 23:00;0;4;"I'm glad I did it";;;;"1289319966907314176";https://twitter.com/PeterMcCormack/status/1289319966907314176
PeterMcCormack;2020-07-31 22:59;0;1;"Because I prefer more civilised language";;;;"1289319764574183424";https://twitter.com/PeterMcCormack/status/1289319764574183424
PeterMcCormack;2020-07-31 22:58;0;2;"It was a show about MMT";;;;"1289319578229563392";https://twitter.com/PeterMcCormack/status/1289319578229563392
PeterMcCormack;2020-07-31 22:58;0;3;"I do";;;;"1289319495090094081";https://twitter.com/PeterMcCormack/status/1289319495090094081
PeterMcCormack;2020-07-31 19:28;0;1;"Agreed";;;;"1289266745874800640";https://twitter.com/PeterMcCormack/status/1289266745874800640
PeterMcCormack;2020-07-31 18:43;0;5;"Let me know soon";;;;"1289255252873474048";https://twitter.com/PeterMcCormack/status/1289255252873474048
PeterMcCormack;2020-07-31 18:28;1;19;"Or jump on a mic and discuss it with me?";;;;"1289251587123224576";https://twitter.com/PeterMcCormack/status/1289251587123224576
PeterMcCormack;2020-07-31 17:27;0;1;"Oh right, lol";;;;"1289236299958775810";https://twitter.com/PeterMcCormack/status/1289236299958775810
PeterMcCormack;2020-07-31 17:19;0;0;"No, because I have bollocks.";;;;"1289234246171635712";https://twitter.com/PeterMcCormack/status/1289234246171635712
PeterMcCormack;2020-07-31 16:53;0;2;"Yep";;;;"1289227747949191168";https://twitter.com/PeterMcCormack/status/1289227747949191168
PeterMcCormack;2020-07-31 16:52;0;7;"Nah dude, worth a listen";;;;"1289227421065940992";https://twitter.com/PeterMcCormack/status/1289227421065940992
PeterMcCormack;2020-07-31 16:35;0;2;"What was shit about it?";;;;"1289223233552519171";https://twitter.com/PeterMcCormack/status/1289223233552519171
PeterMcCormack;2020-07-31 15:09;0;0;"If you answer yes to either of these you are stupid: 1. Is Craig Wright Satoshi? 2. Is BSV the real Bitcoin?";;;;"1289201587206815749";https://twitter.com/PeterMcCormack/status/1289201587206815749
PeterMcCormack;2020-07-31 15:07;0;0;"What actually happened? Misreporting?";;;;"1289201126621868033";https://twitter.com/PeterMcCormack/status/1289201126621868033
PeterMcCormack;2020-07-31 15:04;3;49;"PR. During every stage of the legal process there are challenges and requests which lead to costs being charged to the other team. CSW has had to pay 10’s of thousands towards my costs also. https:// twitter.com/Countergrind/s tatus/1289199130951086082 …";;;;"1289200186321801219";https://twitter.com/PeterMcCormack/status/1289200186321801219
PeterMcCormack;2020-07-31 15:02;0;6;"Lol, Coingeek owned by Calvin Ayre is your source of truth?";;;;"1289199699988226048";https://twitter.com/PeterMcCormack/status/1289199699988226048
PeterMcCormack;2020-07-31 14:40;8;100;"My interview with @StephanieKelton discussing MMT is available https:// twitter.com/WhatBitcoinDid /status/1289189139582050304 …";;@StephanieKelton;;"1289194142187139073";https://twitter.com/PeterMcCormack/status/1289194142187139073
PeterMcCormack;2020-07-31 13:46;0;10;"Oh dear";;;;"1289180739695603712";https://twitter.com/PeterMcCormack/status/1289180739695603712
PeterMcCormack;2020-07-31 13:45;19;457;"My prediction was right. Okay, someone is getting a bag of sand in Bitcoin. Make a comment below and I'll pick someone tomorrow. Don't annoy people with ReTweets. https:// twitter.com/PeterMcCormack /status/1288202214012583937 …";;;;"1289180436694855688";https://twitter.com/PeterMcCormack/status/1289180436694855688
PeterMcCormack;2020-07-31 13:32;0;0;"If anyone believes Coingeek analysis then they are about as dumb as it gets.";;;;"1289177017200517122";https://twitter.com/PeterMcCormack/status/1289177017200517122
PeterMcCormack;2020-07-31 13:31;0;1;"You do not understand the UK legal system, making comments like this just highlights your own stupidity.";;;;"1289176742297444352";https://twitter.com/PeterMcCormack/status/1289176742297444352
PeterMcCormack;2020-07-31 11:14;0;1;"http://www. defiance.news";;;;"1289142286467633152";https://twitter.com/PeterMcCormack/status/1289142286467633152
PeterMcCormack;2020-07-31 05:04;0;3;"lol";;;;"1289049238790377472";https://twitter.com/PeterMcCormack/status/1289049238790377472
PeterMcCormack;2020-07-31 03:34;0;5;"I have and will again";;;;"1289026515229974528";https://twitter.com/PeterMcCormack/status/1289026515229974528
PeterMcCormack;2020-07-31 03:33;0;5;"Julie K has definitely been credited, everyone knows Miami Herald broke a lot of this. I'm not going to compare, both deserve credit.";;;;"1289026314075353088";https://twitter.com/PeterMcCormack/status/1289026314075353088
PeterMcCormack;2020-07-31 03:29;12;171;". @Cernovich has never been given the credit he deserved for his work investigating Epstein and his pedo friends. Give that man his dues!";;@Cernovich;;"1289025278237442049";https://twitter.com/PeterMcCormack/status/1289025278237442049
PeterMcCormack;2020-07-31 00:37;0;57;"This is going to be a popular decision.";;;;"1288982063778091008";https://twitter.com/PeterMcCormack/status/1288982063778091008
PeterMcCormack;2020-07-30 22:37;0;0;"Like is hard when your parents have no brain cells for you to inherit.";;;;"1288951978865950725";https://twitter.com/PeterMcCormack/status/1288951978865950725
PeterMcCormack;2020-07-30 21:11;0;1;"Your mother would refute this";;;;"1288930200961638407";https://twitter.com/PeterMcCormack/status/1288930200961638407
PeterMcCormack;2020-07-30 21:10;0;0;"And they made it for $7k";;;;"1288930030870056963";https://twitter.com/PeterMcCormack/status/1288930030870056963
PeterMcCormack;2020-07-30 19:17;0;4;"Thanks for checking it out Linda";;;;"1288901427906084866";https://twitter.com/PeterMcCormack/status/1288901427906084866
PeterMcCormack;2020-07-30 15:57;0;2;"I don't even handle this anymore, I get to blame my producer";;;;"1288851190177038338";https://twitter.com/PeterMcCormack/status/1288851190177038338
PeterMcCormack;2020-07-30 15:54;0;0;"I don't understand, it is fine on everything else, only on Apple Podcasts but it takes the name from the same place";;;;"1288850339391836161";https://twitter.com/PeterMcCormack/status/1288850339391836161
PeterMcCormack;2020-07-30 14:57;3;70;"Whatever evidence is provided, we will not be able to disclose this as we may still be heading to trial. Trial is set for May 2021.";;;;"1288836143455383552";https://twitter.com/PeterMcCormack/status/1288836143455383552
PeterMcCormack;2020-07-30 14:54;4;80;"We have been asking for this evidence since this all began, offering to settle if conclusive proof is provided. Now we have a set date. I can’t answer any questions about this.";;;;"1288835365080571906";https://twitter.com/PeterMcCormack/status/1288835365080571906
